ATR_PCT,Action,Cash,Combined_Momentum,Date,Market_Regime,Portfolio_Value,Position,Position_Pct,QQQ_Price,Reason,SMA_200,SMA_50,SQQQ_Price,SQQQ_Shares,Slope_200,Slope_50,Stop_Loss,TQQQ_Price,TQQQ_Shares,Ticker,Trailing_Stop,Volume_Ratio,Daily_Return,Drawdown
1.497030917559563,HOLD,10000.0,0.8289433921771358,2021-10-18,choppy,10000.0,CASH,0.0,372.65,Rule 2: High Volatility - Stay in Cash,342.98189999999994,369.4801999999996,946.25,0,0.0,-0.060102395872985964,,34.945,0,N/A,,0.7002381815452604,,0.0
1.450307994932065,HOLD,10000.0,0.946710417928062,2021-10-19,choppy,10000.0,CASH,0.0,375.47,Rule 2: High Volatility - Stay in Cash,343.31269999999995,369.6149999999996,927.5,0,0.0,0.016722896730446957,,35.7125,0,N/A,,0.5980082705987548,0.0,0.0
1.4050577935585133,HOLD,10000.0,0.9709729109775339,2021-10-20,choppy,10000.0,CASH,0.0,374.98,Rule 2: High Volatility - Stay in Cash,343.62829999999997,369.7777999999996,928.75,0,0.0,0.0976674056689588,,35.6,0,N/A,,0.6557785281696079,0.0,0.0
1.334996913919171,HOLD,10000.0,1.0647234567743478,2021-10-21,choppy,10000.0,CASH,0.0,377.27,Rule 2: High Volatility - Stay in Cash,343.97695,369.9989999999996,912.5,0,0.0,0.16139563641641805,,36.2375,0,N/A,,0.5429606292850694,0.0,0.0
1.2513193569328285,HOLD,10000.0,0.9869466945300727,2021-10-22,choppy,10000.0,CASH,0.0,374.1,Rule 2: High Volatility - Stay in Cash,344.27255,370.13039999999967,935.0,0,0.0,0.20092682982295673,,35.32,0,N/A,,0.7731567164321458,0.0,0.0
1.205374389059198,HOLD,10000.0,1.2420809797213588,2021-10-25,choppy,10000.0,CASH,0.0,377.93,Rule 2: High Volatility - Stay in Cash,344.56705,370.31259999999963,906.25,0,0.4621672455602047,0.22528947423975842,,36.38,0,N/A,,0.7028100793087383,0.0,0.0
1.1640038585596713,HOLD,10000.0,1.2765144031129716,2021-10-26,choppy,10000.0,CASH,0.0,379.12,Rule 2: High Volatility - Stay in Cash,344.89055,370.51539999999966,898.75,0,0.4595955815208902,0.24360483205498917,,36.72,0,N/A,,1.0760366770116006,0.0,0.0
1.123902255639097,HOLD,10000.0,1.3124789164618118,2021-10-27,choppy,10000.0,CASH,0.0,380.0,Rule 2: High Volatility - Stay in Cash,345.22095,370.80079999999964,891.25,0,0.4634804525704225,0.2766526276050173,,37.01,0,N/A,,1.0582721869450693,0.0,0.0
1.1259360336711854,HOLD,10000.0,1.4583374554211566,2021-10-28,choppy,10000.0,CASH,0.0,384.22,Rule 2: High Volatility - Stay in Cash,345.56185000000005,371.2409999999997,862.5,0,0.4607576176252687,0.33567658290970426,,38.225,0,N/A,,0.9033825734583456,0.0,0.0
1.133004288193224,HOLD,10000.0,1.5572705922530936,2021-10-29,choppy,10000.0,CASH,0.0,386.11,Rule 2: High Volatility - Stay in Cash,345.92065,371.68399999999974,848.75,0,0.4787195493802801,0.41974396050691193,,38.79,0,N/A,,0.9073777502109203,0.0,0.0
